V3B-T001|wpf_ui|Add a recent-errors flyout to the MainWindow.xaml status bar: an error-count chip that opens a popup listing the last 10 activity-log entries of warning level or higher, tracked in MainWindow.xaml.cs and cleared by a dismiss button.
V3B-T002|wpf_ui|Add a compact-mode toggle to the View menu in MainWindow.xaml that hides the activity log and shrinks the toolbar to icon-only buttons, persisting the choice in app settings via MainWindow.xaml.cs.
V3B-T003|wpf_ui|Add a double-click-to-rename behavior to file explorer items in MainWindow.xaml: an inline TextBox replaces the label, commits the rename on Enter via File.Move in MainWindow.xaml.cs, and reverts on Escape.
V3B-T004|wpf_ui|Show a subtle save-flash on the editor tab in MainWindow.xaml: when a file saves, the tab header briefly tints green using a ColorAnimation triggered from the save handler in MainWindow.xaml.cs.
V3B-T005|wpf_ui|Add a workspace-statistics popover opened from the MainWindow.xaml status bar: total files, total size, and per-extension counts computed on a background task in MainWindow.xaml.cs with a loading spinner while it scans.
V3B-T006|wpf_ui|Add multi-select to the file explorer in MainWindow.xaml with Ctrl+click, and a context menu action that copies all selected file paths to the clipboard as one path per line via MainWindow.xaml.cs.
V3B-T007|wpf_ui|Add an editor read-only indicator: when the open file has the read-only attribute, show a lock icon next to the tab header in MainWindow.xaml and block edits with a status-bar hint, detected in MainWindow.xaml.cs on file open.
V3B-T008|wpf_ui|Add a quick-switch dropdown to the editor tab strip in MainWindow.xaml listing all open documents sorted by last use, with type-to-filter, switching the active document via MainWindow.xaml.cs.
V3B-T009|swarm|Add a per-role concurrency badge to the Swarm Board header in SwarmBoardPanel.xaml showing how many tasks each role has queued versus running, updated from task state changes in SwarmBoardPanel.xaml.cs.
V3B-T010|swarm|Add a goal-history dropdown arrow inside the goal input in SwarmBoardPanel.xaml that lists the previous 10 goals from the current session, selecting one fills the textbox via SwarmBoardPanel.xaml.cs.
V3B-T011|swarm|Show per-task output size on completed task cards in SwarmBoardPanel.xaml: track the character count of each worker result on SwarmTask in SwarmTask.cs and render it as a small kb-style label via SwarmBoardPanel.xaml.cs.
V3B-T012|swarm|Add a copy-run-summary button to the Swarm Board header in SwarmBoardPanel.xaml that builds a one-paragraph plain-text summary of the run — goal, task count, per-role outcomes, duration — in SwarmBoardPanel.xaml.cs and copies it to the clipboard.
V3B-T013|swarm|Add a stalled-task indicator: if a running task has produced no activity for 120 seconds, tint its card amber in SwarmBoardPanel.xaml and show a stalled badge, tracked with per-task last-activity timestamps in SwarmBoardPanel.xaml.cs.
V3B-T014|swarm|Add a dry-run toggle to the Swarm Board in SwarmBoardPanel.xaml: when enabled, SwarmSession.cs stops after the boss plan is produced and the board shows the plan with a banner saying no workers were dispatched.
V3B-T015|swarm|Add an estimated-completion label to the Swarm Board header in SwarmBoardPanel.xaml that projects remaining time from the average completed-task duration of the current run, recomputed in SwarmBoardPanel.xaml.cs as tasks finish.
V3B-T016|ollama|Add a connection-quality indicator to the MainWindow.xaml status bar: measure the round-trip time of a lightweight Ollama API call every 60 seconds in OllamaClient.cs and show green, amber, or red latency states.
V3B-T017|ollama|Add a model warm-up button next to the model dropdown in MainWindow.xaml that sends a one-token generate request via OllamaClient.cs so the first real request is fast, showing a brief warming indicator while it runs.
V3B-T018|ollama|Show the active model's parameter size and quantization next to the model dropdown in MainWindow.xaml, parsed from the Ollama model details endpoint in OllamaClient.cs when the selection changes.
V3B-T019|ollama|Add an inference-busy indicator to the MainWindow.xaml title bar: a small animated dot whenever any OllamaClient.cs request is in flight, driven by request-started and request-finished events.
V3B-T020|model_wiki|Add a details-pane copy button in ModelWikiWindow.xaml that copies the selected model's full metadata block as formatted plain text via ModelWikiWindow.xaml.cs, with a brief copied confirmation.
V3B-T021|model_wiki|Add an installed-size total to the Model Wiki footer in ModelWikiWindow.xaml showing the combined disk size of all listed models and the count, recomputed when the list refreshes in ModelWikiWindow.xaml.cs.
V3B-T022|model_wiki|Add a keyboard navigation flow to the Model Wiki list in ModelWikiWindow.xaml: up and down arrows move the selection, Enter opens the detail pane, and Ctrl+C copies the model id, handled in ModelWikiWindow.xaml.cs.
V3B-T023|model_wiki|Highlight the currently loaded models in the Model Wiki list: query the Ollama ps endpoint when the window opens in ModelWikiWindow.xaml.cs and render a small in-memory badge next to loaded models in ModelWikiWindow.xaml.
V3B-T024|git|Show the time since the last git commit in the MainWindow.xaml status bar as a relative label like 25m ago, refreshed every minute via a lightweight git log call in MainWindow.xaml.cs, hidden when the workspace is not a repo.
V3B-T025|git|Add a checkpoint-on-demand button to the toolbar in MainWindow.xaml that triggers the existing git auto-checkpoint logic immediately with a checkpoint-manual message prefix, with the result written to the activity log from MainWindow.xaml.cs.
V3B-T026|git|Add a changed-files flyout to the MainWindow.xaml status bar: clicking the uncommitted-changes badge opens a popup listing modified file paths from git status parsed in MainWindow.xaml.cs, with click-to-open in the editor.
V3B-T027|git|Add a branch-protection guard to the git checkpoint flow: when the current branch is main or master, MainWindow.xaml.cs shows a confirmation dialog before the auto-checkpoint commits, with a do-not-ask-again setting persisted in app settings.
V3B-T028|csharp_core|Create Services/StartupTimer.cs that records timestamps for each startup phase — settings load, model list fetch, workspace scan, first render — and writes a one-line timing summary to the activity log when MainWindow.xaml.cs finishes loading.
V3B-T029|csharp_core|Create Services/IdleDetector.cs that raises an OnIdle event after 10 minutes without keyboard or mouse input inside the app window, used by MainWindow.xaml.cs to dim the activity indicator and pause non-essential polling timers.
V3B-T030|csharp_core|Create Services/SettingsMigrator.cs that upgrades older .orc/settings.json files to the current schema by filling missing keys with defaults and renaming deprecated keys, invoked once at startup before settings load, logging each migration performed.
V3B-T031|csharp_core|Create Services/NetworkProbe.cs with a CheckAsync method that verifies localhost Ollama reachability and general internet availability separately, returning a two-flag result that MainWindow.xaml.cs uses to show offline or local-only status chips.
V3B-T032|wpf_ui|Add an activity-log severity filter row in MainWindow.xaml with toggle chips for info, warning, and error levels, filtering the visible entries through a CollectionViewSource in MainWindow.xaml.cs and persisting the chosen levels.
V3B-T033|swarm|Add a worker-output preview popup to completed task cards in SwarmBoardPanel.xaml: hovering a card shows the first 500 characters of that task's result in a tooltip-style popup built in SwarmBoardPanel.xaml.cs.
V3B-T034|ollama|Add an automatic reconnect banner: when OllamaClient.cs detects the server is unreachable, MainWindow.xaml shows a red banner with a retry countdown that attempts reconnection every 15 seconds and clears itself on success.
V3B-T035|model_wiki|Add a probe-age warning to the Model Wiki detail pane in ModelWikiWindow.xaml: when the selected model's capability profile is older than 30 days, show an amber stale-profile notice with the profile date, computed in ModelWikiWindow.xaml.cs.
